idiom,language,frequency,source_idiom,source_language
akk og ve,nno,8308.0,akk og ve,nob
aldri så galt at det ikke er godt for noe,nob,11116.0,aldri så gale at det ikkje er godt for noko,nno
aldri så gale at det ikkje er godt for noko,nno,1231.0,aldri så galt at det ikke er godt for noe,nob
alfa og omega,nno,85675.0,alfa og omega,nob
alle mann til pumpene,nno,2731.0,alle mann til pumpene,nob
alle monner dreg,nno,162.0,alle monner drar,nob
alle som ein,nno,17318.0,alle som en,nob
alle var der,nno,10696.0,alle var der,nob
alle vegar fører til Rom,nno,373.0,alle veier fører til Rom,nob
alt er klappa og klart,nno,692.0,alt er klappet og klart,nob
alt er såre vel,nno,11073.0,alt er såre vel,nob
alt har si tid,nno,1613.0,alt har sin tid,nob
alt i alt,nno,894361.0,alt i alt,nob
alt mellom himmel og jord,nno,56419.0,alt mellom himmel og jord,nob
alt sitt gods og gull,nno,278.0,alt sitt gods og gull,nob
alt teke i betraktning,nno,179.0,alt tatt i betraktning,nob
alt til si tid,nno,1212.0,alt til sin tid,nob
alt vel .,nno,271423.0,alt vel .,nob
ane fred og ingen fare,nno,549.0,ane fred og ingen fare,nob
ane ugler i mosen,nno,2018.0,ane ugler i mosen,nob
ansikt til ansikt,nno,322710.0,ansikt til ansikt,nob
arbeid i felten,nno,1923.0,arbeide i felten,nob
arbeidet adler mannen,nob,2835.0,arbeidet adlar mannen,nno
arbeidet adlar mannen,nno,578.0,arbeidet adler mannen,nob
armar og bein,nno,8989.0,armer og bein,nob
at det går an,nno,257471.0,at det går an,nob
av eit godt hjarte,nno,217.0,av et godt hjerte,nob
av få ord,nno,12739.0,av få ord,nob
av heile si sjel,nno,296.0,av hele sin sjel,nob
av heile sitt hjarte,nno,727.0,av hele sitt hjerte,nob
av og til,nno,1913351.0,av og til,nob
av sine lungers fulle kraft,nno,11246.0,av sine lungers fulle kraft,nob
av sinn og skinn,nno,1171.0,av sinn og skinn,nob
av skade blir ein klok,nno,210.0,av skade blir man klok,nob
bak lås og slå,nno,77933.0,bak lås og slå,nob
bak skyene er himmelen alltid blå,nno,920.0,bak skyene er himmelen alltid blå,nob
baksida av medaljen,nno,2347.0,baksiden av medaljen,nob
balla på seg,nno,4465.0,balle på seg,nob
ballen er rund,nno,4144.0,ballen er rund,nob
balsam for sjela,nno,1814.0,balsam for sjelen,nob
bank i bordet,nno,21000.0,bank i bordet,nob
berre tida og vegen,nno,558.0,bare tiden og veien,nob
barnet er far til mannen,nob,100.0,barnet er far til mannen,nno
be for seg,nno,3358.0,be for seg,nob
be om ordet,nno,5121.0,be om ordet,nob
betre føre var enn etter snar,nno,660.0,bedre føre var enn etter snar,nob
betre lykke neste gong,nno,176.0,bedre lykke neste gang,nob
betre seint enn aldri,nno,3581.0,bedre sent enn aldri,nob
begeret er fullt,nno,4453.0,begeret er fullt,nob
byrja for seg sjølv,nno,711.0,begynne for seg selv,nob
bare bok gjør ingen klok,nob,265.0,berre bok gjer ingen klok,nno
ordna opp etter seg,nno,322.0,beskikke sitt hus,nob
bedre sent enn aldri,nob,30807.0,betre seint enn aldri,nno
bikkja i bakken,nno,2263.0,bikkja i bakken,nob
bita frå seg,nno,671.0,bite fra seg,nob
bita i det sure eplet,nno,1251.0,bite i det sure eplet,nob
bita i graset,nno,1551.0,bite i gresset,nob
bita på kroken,nno,214.0,bite på kroken,nob
bita tennene saman,nno,456.0,bite tennene sammen,nob
bli dagens helt,nno,628.0,bli dagens helt,nob
bli samd med seg sjølv,nno,157.0,bli enig med seg selv,nob
bli ført bak lyset,nno,3744.0,bli ført bak lyset,nob
bli gagns menneske,nno,1177.0,bli gagns menneske,nob
