idiom,language,frequency
aldri så galt at det ikke er godt for noe,nob,11116
alle dager,nob,1013158
alle gode ting er tre,nob,44184
alle mann til pumpene,nob,2731
alle monner drar,nob,19664
alle og enhver,nob,257682
alle som en,nob,173084
alle var der,nob,10696
alle veier fører til Rom,nob,3473
alt er bare fryd og gammen,nob,2169
alt er klappet og klart,nob,17522
alt er såre vel,nob,11073
alt går sin vante gang,nob,825
alt i alt,nob,894358
alt sitt gods og gull,nob,278
alt tatt i betraktning,nob,38501
alt til faget henhørende,nob,103261
alt til sin tid,nob,15322
alt vel .,nob,271422
amerikansk øyemål,nob,140
ane ugler i mosen,nob,2018
angre som en hund,nob,121
angrep er det beste forsvar,nob,10119
arbeide i felten,nob,937
arbeide som en hest,nob,697
arbeide svart,nob,1835
arbeide under høytrykk,nob,967
arbeidet adler mannen,nob,2835
at det går an,nob,257471
av et godt hjerte,nob,7327
av få ord,nob,12739
av hele sitt hjerte,nob,34363
av og til,nob,1913341
av sine lungers fulle kraft,nob,11245
av sinn og skinn,nob,1171
av skade blir man klok,nob,4783
av to onder velger man det minste,nob,1221
avfyre en bredside,nob,163
avvente begivenhetenes gang,nob,5605
bak kulissene,nob,345824
bak lås og slå,nob,77932
bakke ut,nob,9736
baksiden av medaljen,nob,15549
baktale noen,nob,324
balansere på en knivsegg,nob,1060
balansere på slakk line,nob,509
balle på seg,nob,2778
ballen er rund,nob,4144
ballets dronning,nob,5337
bare blåbær,nob,24700
bare piss,nob,1664
bare tiden og veien,nob,1966
be en stille bønn,nob,1764
be for seg,nob,3358
be for sin syke mor,nob,622
be om godt vær,nob,3225
be om ordet,nob,5121
be til høyere makter,nob,1046
bedre føre var enn etter snar,nob,5009
bedre lykke neste gang,nob,10497
bedre sent enn aldri,nob,30807
begeret er fullt,nob,4453
begrave stridsøksa,nob,1149
begynne for seg selv,nob,4794
begynne med to tomme hender,nob,493
begynne å lysne,nob,1006
bekjempe noe,nob,766
belegge sine ord,nob,1911
belme i seg,nob,197
beregne sitt publikum,nob,2038
berget fødte en mus,nob,487
beskytte mot vær og vind,nob,602
bestemme hvor skapet skal stå,nob,1414
bestå ildprøven,nob,251
betale med samme mynt,nob,1090
betale seg,nob,45759
betale skjorta,nob,512
betale under bordet,nob,738
bevare fatningen,nob,9922
bevare sitt gode navn og rykte,nob,292
bevares vel,nob,10347
bevege seg i sneglefart,nob,108
bevingede ord,nob,28512
bikkja i bakken,nob,2263
bistå med råd og dåd,nob,1870
bite hodet av all skam,nob,519
bite i det sure eplet,nob,23648
bite noen av,nob,102
bite på agnet,nob,1734
bite på kroken,nob,5487
bite seg i tunga,nob,495
bite smerten i seg,nob,135
bite tennene sammen,nob,21982
blande blod,nob,2074
blande kortene,nob,12999
blank løgn,nob,20196
bli akterutseilt,nob,14656
bli avkledd,nob,2620
bli bløt om hjertet,nob,131
bli bønnhørt,nob,4622
bli dagens helt,nob,628
bli dolket i ryggen,nob,1240
bli drevet fra skanse til skanse,nob,251
bli drevet til vanvidd,nob,278
bli enig med seg selv,nob,2532
bli feid av banen,nob,859
bli flammenes rov,nob,3470
bli for mye for noen,nob,263
bli frosset ut,nob,2595
bli ført bak lyset,nob,3744
bli gagns menneske,nob,1177
bli grepet på fersk gjerning,nob,827
bli herjet av brann,nob,111
bli het om ørene,nob,242
bli hodestups forelsket,nob,386
bli holdt for narr,nob,3551
bli holdt utenfor,nob,15295
bli hoppende glad,nob,281
bli husvarm,nob,3883
bli kastet til ulvene,nob,451
bli kastet ut på dypt vann,nob,269
bli kjørt av lasset,nob,258
bli klok på noe,nob,205
bli klok på noen,nob,181
bli lagt i ruiner,nob,1095
bli ledd ut,nob,3212
bli mektig vred,nob,146
bli møtt med en kald skulder,nob,503
bli narret opp i stry,nob,137
bli oppøst,nob,128
bli revet med,nob,16537
bli ribbet til skinnet,nob,607
bli rundlurt,nob,470
bli satt på bar bakke,nob,808
bli satt på gaten,nob,1817
bli satt til veggs,nob,823
bli sjanghaiet,nob,139
bli slengt veggimellom,nob,147
bli slått på målstreken,nob,939
bli smidd i Hymens lenker,nob,1266
bli snudd på hodet,nob,3098
bli sparket oppover,nob,202
bli sparket på dagen,nob,133
bli spredt for alle vinder,nob,923
